feature,gain_rev,split_rev,gain_cont,split_cont,target,gain_total,split_total,gain_pct
price_vs_vwap_pct_abs,1846.1516649723053,23,1560.1701757907867,69,y_1r2_120m,3406.321840763092,92,29.725447784926402
atr14_at_entry,498.9471814632416,48,828.863596200943,75,y_1r2_120m,1327.8107776641846,123,11.587211010829538
price_vs_vwap_pct,882.9472579956055,40,423.5109724998474,69,y_1r2_120m,1306.4582304954529,109,11.400876878116723
adx_14_15m,573.9703228473663,39,631.535059928894,102,y_1r2_120m,1205.5053827762604,141,10.519906510694183
orb_range_sq,343.860689163208,34,423.80335903167725,67,y_1r2_120m,767.6640481948853,101,6.6990609366114064
orb_range_atr_ratio,236.90994787216187,23,403.670960187912,69,y_1r2_120m,640.5809080600739,92,5.590063189770328
breakout_strength_vs_orb,386.91821026802063,13,240.60048055648804,40,y_1r2_120m,627.5186908245087,53,5.476075059892332
breakout_strength_atr_ratio,166.4532504081726,27,361.87198996543884,63,y_1r2_120m,528.3252403736115,90,4.610458165828005
time_in_session_min,61.86266040802002,12,282.45261001586914,46,y_1r2_120m,344.31527042388916,58,3.0046854263909717
ema_slope_1h,28.14318037033081,6,193.91427898406982,9,y_1r2_120m,222.05745935440063,15,1.9377961689650371
session,110.03317880630493,11,100.37365007400513,11,y_1r2_120m,210.40682888031006,22,1.8361263256534996
breakout_strength,41.7233202457428,8,147.29628992080688,26,y_1r2_120m,189.01961016654968,34,1.6494896298683874
breakout_side,58.205101013183594,3,127.10710954666138,16,y_1r2_120m,185.31221055984497,19,1.6171368110277962
day_of_week,19.748000144958496,4,139.91401052474976,25,y_1r2_120m,159.66201066970825,29,1.393298984436409
atr14_sq,0.0,0,123.82973980903625,19,y_1r2_120m,123.82973980903625,19,1.0806067767483554
breakout_strength_sq,57.95231866836548,4,58.80126953125,7,y_1r2_120m,116.75358819961548,11,1.0188563653025189
adx_50_flag,56.13878154754639,5,27.01196002960205,4,y_1r2_120m,83.15074157714844,9,0.725619346196518
orb_tf,0.0,0,14.585900068283081,3,y_1r2_120m,14.585900068283081,3,0.12728462874159105
price_vs_vwap_pct_abs,1887.3413648605347,30,2233.7174961566925,157,y_1r2_180m,4121.058861017227,187,27.850146153786987
adx_14_15m,575.792534828186,38,1055.5081672668457,185,y_1r2_180m,1631.3007020950317,223,11.02434216698077
atr14_at_entry,523.7440714836121,50,1087.1643307209015,146,y_1r2_180m,1610.9084022045135,196,10.886530854035193
price_vs_vwap_pct,883.3758597373962,35,650.8906779289246,102,y_1r2_180m,1534.2665376663208,137,10.368584568657328
orb_range_atr_ratio,256.0181221961975,27,767.9733989238739,145,y_1r2_180m,1023.9915211200714,172,6.920142246255927
orb_range_sq,372.2719531059265,35,630.9404697418213,111,y_1r2_180m,1003.2124228477478,146,6.7797169469955145
breakout_strength_atr_ratio,151.47573041915894,25,604.3083910942078,117,y_1r2_180m,755.7841215133667,142,5.107594663101508
breakout_strength_vs_orb,329.6484456062317,12,354.58775067329407,70,y_1r2_180m,684.2361962795258,82,4.624073257083336
time_in_session_min,45.78198957443237,8,545.78289103508,109,y_1r2_180m,591.5648806095123,117,3.9977998228241267
day_of_week,41.99429941177368,7,295.484179019928,61,y_1r2_180m,337.47847843170166,68,2.2806820443619116
breakout_strength,33.98254990577698,6,260.64504981040955,48,y_1r2_180m,294.6275997161865,54,1.9910954902036628
session,132.91910934448242,10,136.06935942173004,23,y_1r2_180m,268.98846876621246,33,1.8178260542906297
atr14_sq,0.0,0,241.4137201309204,41,y_1r2_180m,241.4137201309204,41,1.6314756997952657
breakout_side,51.113800048828125,2,172.8609824180603,25,y_1r2_180m,223.97478246688843,27,1.5136232305417232
ema_slope_1h,33.878990173339844,7,187.41959929466248,11,y_1r2_180m,221.29858946800232,18,1.4955374985324692
breakout_strength_sq,57.12458038330078,4,108.74144983291626,19,y_1r2_180m,165.86603021621704,23,1.1209238545866969
adx_50_flag,37.6373496055603,4,33.99734973907471,6,y_1r2_180m,71.63469934463501,10,0.4841078260984184
orb_tf,0.0,0,15.655150413513184,4,y_1r2_180m,15.655150413513184,4,0.10579762186853131
price_vs_vwap_pct_abs,3223.0605084896088,98,3027.1191638708115,376,y_1r2_240m,6250.17967236042,474,24.218324245450344
adx_14_15m,1031.3235538005829,96,1771.779215812683,427,y_1r2_240m,2803.102769613266,523,10.861520040459286
atr14_at_entry,969.8290629386902,87,1611.1144760847092,317,y_1r2_240m,2580.9435390233994,404,10.000692902267074
price_vs_vwap_pct,1286.4976062774658,71,1205.9115144014359,271,y_1r2_240m,2492.4091206789017,342,9.657637924210798
orb_range_atr_ratio,597.8367323875427,76,1645.880720257759,399,y_1r2_240m,2243.717452645302,475,8.694002353826463
orb_range_sq,698.3444995880127,93,1221.3465900421143,294,y_1r2_240m,1919.691089630127,387,7.438458363902746
breakout_strength_atr_ratio,389.38008069992065,68,1283.6076011657715,321,y_1r2_240m,1672.9876818656921,389,6.482526945143989
breakout_strength_vs_orb,366.7205390930176,43,961.0862014293671,243,y_1r2_240m,1327.8067405223846,286,5.145012761708539
time_in_session_min,122.39026999473572,23,1005.4031575918198,259,y_1r2_240m,1127.7934275865555,282,4.36999707895821
breakout_strength,97.83135986328125,18,498.29303723573685,131,y_1r2_240m,596.1243970990181,149,2.309875027019078
atr14_sq,199.9068500995636,32,386.90224957466125,90,y_1r2_240m,586.8090996742249,122,2.2737799217096892
day_of_week,73.1351797580719,12,507.8366093635559,141,y_1r2_240m,580.9717891216278,153,2.2511613911881825
session,234.91777324676514,21,233.80979180335999,55,y_1r2_240m,468.7275650501251,76,1.8162351721446226
ema_slope_1h,94.7194185256958,9,297.81919753551483,41,y_1r2_240m,392.53861606121063,50,1.5210166716760165
breakout_side,175.8527603149414,17,190.94635939598083,29,y_1r2_240m,366.79911971092224,46,1.4212807438782078
breakout_strength_sq,94.37290000915527,7,173.66684126853943,36,y_1r2_240m,268.0397412776947,43,1.0386058809855436
adx_50_flag,41.01730036735535,8,51.19831037521362,11,y_1r2_240m,92.21561074256897,19,0.35731893777900725
orb_tf,3.9079599380493164,1,32.88177990913391,9,y_1r2_240m,36.78973984718323,10,0.1425536376922044
price_vs_vwap_pct_abs,2228.8277139663696,38,2155.4060686826706,160,y_1r2_60m,4384.23378264904,198,26.919524435259362
atr14_at_entry,565.6139600276947,67,1315.51540350914,159,y_1r2_60m,1881.1293635368347,226,11.550275459311061
price_vs_vwap_pct,1018.1747741699219,45,673.1917275190353,118,y_1r2_60m,1691.3665016889572,163,10.385117247028838
adx_14_15m,626.8452568054199,54,1062.3392977714539,198,y_1r2_60m,1689.1845545768738,252,10.371719928018928
orb_range_sq,459.7401146888733,43,614.571711063385,111,y_1r2_60m,1074.3118257522583,154,6.596355230617289
orb_range_atr_ratio,322.90147972106934,36,703.5308396816254,137,y_1r2_60m,1026.4323194026947,173,6.302371468568345
breakout_strength_vs_orb,382.46256732940674,18,532.9017193317413,102,y_1r2_60m,915.3642866611481,120,5.6204054125621585
breakout_strength_atr_ratio,136.69265961647034,20,684.3126101493835,135,y_1r2_60m,821.0052697658539,155,5.041033967760886
time_in_session_min,72.36297011375427,14,590.4846925735474,121,y_1r2_60m,662.8476626873016,135,4.069934391542404
ema_slope_1h,78.34306025505066,9,371.7534565925598,23,y_1r2_60m,450.0965168476105,32,2.7636263904210465
breakout_strength,41.248289823532104,7,308.33568024635315,57,y_1r2_60m,349.58397006988525,64,2.1464718103570575
day_of_week,35.05031061172485,7,267.461190700531,54,y_1r2_60m,302.51150131225586,61,1.8574433196858005
atr14_sq,36.34920024871826,5,230.7218313217163,43,y_1r2_60m,267.07103157043457,48,1.639836175881626
session,119.49400091171265,10,117.94744992256165,19,y_1r2_60m,237.4414508342743,29,1.4579083266437092
breakout_side,68.44904899597168,5,161.6968810558319,27,y_1r2_60m,230.1459300518036,32,1.413113281555352
breakout_strength_sq,60.63923001289368,8,158.5310091972351,26,y_1r2_60m,219.17023921012878,34,1.3457217161293418
adx_50_flag,32.13733959197998,4,17.026350021362305,2,y_1r2_60m,49.163689613342285,6,0.30186874365860394
orb_tf,0.0,0,35.38599991798401,8,y_1r2_60m,35.38599991798401,8,0.21727269499818785
price_vs_vwap_pct_abs,2328.101720094681,45,1779.3129148483276,106,y_1r2_close60m,4107.414634943008,151,29.11922777084935
adx_14_15m,809.5577175617218,71,832.7949137687683,145,y_1r2_close60m,1642.35263133049,216,11.643343709425597
price_vs_vwap_pct,962.1622049808502,48,591.235377073288,93,y_1r2_close60m,1553.3975820541382,141,11.012703130992453
atr14_at_entry,603.1914780139923,67,812.7032189369202,80,y_1r2_close60m,1415.8946969509125,147,10.037886077849894
orb_range_atr_ratio,328.8441734313965,36,521.2949991226196,96,y_1r2_close60m,850.1391725540161,132,6.027001995834609
orb_range_sq,410.6925518512726,52,432.25269961357117,75,y_1r2_close60m,842.9452514648438,127,5.976001197186474
breakout_strength_vs_orb,484.2572429180145,30,270.7875599861145,52,y_1r2_close60m,755.044802904129,82,5.352837136508487
time_in_session_min,237.00887084007263,36,453.53565084934235,87,y_1r2_close60m,690.544521689415,123,4.895566919862547
breakout_strength_atr_ratio,152.6733193397522,26,428.97453117370605,90,y_1r2_close60m,581.6478505134583,116,4.123551612597624
breakout_strength,88.00179052352905,16,245.45939016342163,46,y_1r2_close60m,333.4611806869507,62,2.3640496361269836
ema_slope_1h,30.28976011276245,6,206.4786114692688,14,y_1r2_close60m,236.76837158203125,20,1.6785527524727062
session,127.62936973571777,13,109.1331102848053,17,y_1r2_close60m,236.76248002052307,30,1.6785109846608997
breakout_side,128.05109977722168,7,106.93627142906189,16,y_1r2_close60m,234.98737120628357,23,1.6659264753103846
day_of_week,41.52790021896362,7,162.1482696533203,32,y_1r2_close60m,203.67616987228394,39,1.4439479110653586
breakout_strength_sq,81.32716965675354,8,103.04562878608704,13,y_1r2_close60m,184.37279844284058,21,1.307098014145452
atr14_sq,53.6563503742218,7,127.42669987678528,25,y_1r2_close60m,181.08305025100708,32,1.283775575234176
adx_50_flag,32.959890365600586,3,0.0,0,y_1r2_close60m,32.959890365600586,3,0.23366682941944172
orb_tf,6.9847800731658936,2,15.069499969482422,3,y_1r2_close60m,22.054280042648315,5,0.15635227045756586
price_vs_vwap_pct_abs,2855.9236948490143,89,313.01241397857666,11,y_1r4_120m,3168.936108827591,100,25.473459683791454
breakout_strength_atr_ratio,1736.9822504520416,101,74.46629047393799,12,y_1r4_120m,1811.4485409259796,113,14.561310102781661
atr14_at_entry,1152.4895870685577,109,377.8411078453064,31,y_1r4_120m,1530.3306949138641,140,12.301547245198114
adx_14_15m,1014.6002476215363,83,259.2363395690918,35,y_1r4_120m,1273.836587190628,118,10.239722049664204
orb_range_atr_ratio,1152.267202615738,106,109.71504068374634,16,y_1r4_120m,1261.9822432994843,122,10.144431030590747
price_vs_vwap_pct,762.8150615692139,87,170.5274920463562,21,y_1r4_120m,933.3425536155701,108,7.502664330928837
orb_range_sq,446.399151802063,62,96.9570198059082,13,y_1r4_120m,543.3561716079712,75,4.367762888257072
breakout_strength_vs_orb,290.3689377307892,42,100.22536993026733,13,y_1r4_120m,390.5943076610565,55,3.1397882466628446
ema_slope_1h,163.71123838424683,15,127.71639823913574,6,y_1r4_120m,291.42763662338257,21,2.342638001311706
time_in_session_min,217.6881594657898,33,52.49690008163452,7,y_1r4_120m,270.1850595474243,40,2.1718797682198896
breakout_strength,171.2538194656372,24,52.340360164642334,7,y_1r4_120m,223.59417963027954,31,1.7973594685219423
atr14_sq,207.20293951034546,26,0.0,0,y_1r4_120m,207.20293951034546,26,1.6655986566837497
day_of_week,107.7112295627594,20,43.783989906311035,6,y_1r4_120m,151.49521946907043,26,1.2177927332401333
session,137.92270016670227,18,7.860249996185303,1,y_1r4_120m,145.78295016288757,19,1.1718747163168313
breakout_side,99.24448871612549,12,0.0,0,y_1r4_120m,99.24448871612549,12,0.7977757819434353
adx_50_flag,68.12021112442017,5,5.119229793548584,1,y_1r4_120m,73.23944091796875,6,0.5887344778868202
breakout_strength_sq,64.14896941184998,8,0.0,0,y_1r4_120m,64.14896941184998,8,0.5156608180005551
orb_tf,0.0,0,0.0,0,y_1r4_120m,0.0,0,0.0
price_vs_vwap_pct_abs,2827.493418931961,91,381.21246242523193,13,y_1r4_180m,3208.705881357193,104,25.539649858959475
breakout_strength_atr_ratio,1773.7454154491425,118,77.2193694114685,11,y_1r4_180m,1850.964784860611,129,14.732728475134998
atr14_at_entry,1101.0039677619934,111,286.55650901794434,25,y_1r4_180m,1387.5604767799377,136,11.04426832667545
adx_14_15m,1002.2110567092896,79,370.2052001953125,41,y_1r4_180m,1372.416256904602,120,10.923728119095074
orb_range_atr_ratio,1000.381320476532,94,131.9763593673706,20,y_1r4_180m,1132.3576798439026,114,9.01298521199601
price_vs_vwap_pct,706.6370542049408,76,180.2597427368164,19,y_1r4_180m,886.8967969417572,95,7.05924272664854
orb_range_sq,498.18292808532715,62,151.1771593093872,20,y_1r4_180m,649.3600873947144,82,5.168572588968353
breakout_strength_vs_orb,288.14995980262756,48,76.68477058410645,11,y_1r4_180m,364.834730386734,59,2.9038969650044466
ema_slope_1h,129.8980996608734,14,194.1957025527954,10,y_1r4_180m,324.0938022136688,24,2.5796201135440078
time_in_session_min,205.20014023780823,32,86.36079931259155,12,y_1r4_180m,291.5609395503998,44,2.320675245409796
atr14_sq,233.00600719451904,33,0.0,0,y_1r4_180m,233.00600719451904,33,1.854608075285837
session,176.30041933059692,21,44.69255018234253,6,y_1r4_180m,220.99296951293945,27,1.758990468850604
day_of_week,100.36004972457886,18,72.4935212135315,9,y_1r4_180m,172.85357093811035,27,1.3758255950722698
breakout_strength,114.01756834983826,16,41.13033056259155,6,y_1r4_180m,155.1478989124298,22,1.2348975447075574
breakout_strength_sq,86.41348004341125,11,38.58030033111572,5,y_1r4_180m,124.99378037452698,16,0.9948862573726599
adx_50_flag,74.63539981842041,5,19.075459480285645,2,y_1r4_180m,93.71085929870605,7,0.7458902819285051
breakout_side,82.72655057907104,9,0.0,0,y_1r4_180m,82.72655057907104,9,0.6584608293656747
orb_tf,11.442110061645508,2,0.0,0,y_1r4_180m,11.442110061645508,2,0.09107331598074031
price_vs_vwap_pct_abs,2532.7432787418365,62,1003.5639567375183,66,y_1r4_240m,3536.307235479355,128,24.594163746124455
adx_14_15m,945.1447236537933,64,815.0372121334076,107,y_1r4_240m,1760.181935787201,171,12.241640748121435
breakout_strength_atr_ratio,1280.8306093215942,80,315.65944814682007,56,y_1r4_240m,1596.4900574684143,136,11.10320322241895
atr14_at_entry,925.1317367553711,91,549.5098366737366,51,y_1r4_240m,1474.6415734291077,142,10.255776409891581
orb_range_atr_ratio,855.6728804111481,75,349.8532712459564,55,y_1r4_240m,1205.5261516571045,130,8.38414357118807
price_vs_vwap_pct,641.8029792308807,71,431.4203772544861,57,y_1r4_240m,1073.2233564853668,128,7.464009546667259
orb_range_sq,529.5354909896851,61,381.824969291687,67,y_1r4_240m,911.3604602813721,128,6.338292150360947
breakout_strength_vs_orb,582.7503826618195,35,217.8212707042694,37,y_1r4_240m,800.5716533660889,72,5.567782724263841
ema_slope_1h,132.79211854934692,10,360.8021216392517,25,y_1r4_240m,493.59424018859863,35,3.4328288689251107
time_in_session_min,153.74514079093933,22,196.97584080696106,32,y_1r4_240m,350.7209815979004,54,2.439179821277896
atr14_sq,194.77864813804626,26,104.81430864334106,16,y_1r4_240m,299.59295678138733,42,2.0835967424838993
breakout_strength,100.37060928344727,13,139.1899094581604,25,y_1r4_240m,239.56051874160767,38,1.6660856177670231
session,160.40422010421753,21,42.45008945465088,6,y_1r4_240m,202.8543095588684,27,1.410802787677342
day_of_week,74.6244695186615,14,79.46412897109985,14,y_1r4_240m,154.08859848976135,28,1.071649031126764
breakout_strength_sq,57.08196020126343,6,58.148160219192505,9,y_1r4_240m,115.23012042045593,15,0.8013976901308968
adx_50_flag,65.2716417312622,3,15.843209743499756,2,y_1r4_240m,81.11485147476196,5,0.5641342243676516
breakout_side,51.652180194854736,6,25.72687005996704,4,y_1r4_240m,77.37905025482178,10,0.5381526280842829
orb_tf,0.0,0,6.20589017868042,1,y_1r4_240m,6.20589017868042,1,0.043160469122599465
price_vs_vwap_pct_abs,3824.817877650261,278,671.15665102005,45,y_1r4_60m,4495.974528670311,323,20.168734288076198
breakout_strength_atr_ratio,2797.342045903206,264,212.91682052612305,34,y_1r4_60m,3010.258866429329,298,13.503882379265738
atr14_at_entry,1958.053250670433,293,994.8817081451416,78,y_1r4_60m,2952.9349588155746,371,13.24672997467728
orb_range_atr_ratio,2052.972681283951,319,316.91626167297363,48,y_1r4_60m,2369.8889429569244,367,10.631212449703133
adx_14_15m,1586.8664458990097,239,672.1553208827972,86,y_1r4_60m,2259.021766781807,325,10.1338674128738
price_vs_vwap_pct,1134.336471915245,199,361.3137412071228,50,y_1r4_60m,1495.6502131223679,249,6.709417845676945
orb_range_sq,821.816321849823,157,389.9878103733063,55,y_1r4_60m,1211.8041322231293,212,5.436097423627836
time_in_session_min,829.8800280094147,177,246.1084303855896,39,y_1r4_60m,1075.9884583950043,216,4.826834577468961
breakout_strength_vs_orb,713.572518825531,140,197.176659822464,32,y_1r4_60m,910.749178647995,172,4.085578792784577
atr14_sq,467.05267000198364,85,121.30650901794434,21,y_1r4_60m,588.359179019928,106,2.6393521297624214
day_of_week,341.023090839386,75,130.71712970733643,21,y_1r4_60m,471.7402205467224,96,2.1162048629352896
breakout_strength,328.6558406352997,67,102.11994981765747,16,y_1r4_60m,430.77579045295715,83,1.9324403196632942
ema_slope_1h,120.36955976486206,20,257.4950895309448,24,y_1r4_60m,377.8646492958069,44,1.6950833817909023
session,239.77306032180786,45,55.79562997817993,8,y_1r4_60m,295.5686902999878,53,1.3259075069311355
breakout_strength_sq,148.81225061416626,25,37.14096021652222,6,y_1r4_60m,185.95321083068848,31,0.8341775237699057
adx_50_flag,58.715970516204834,5,16.02072048187256,3,y_1r4_60m,74.73669099807739,8,0.3352653474120277
breakout_side,48.46994996070862,9,26.058209896087646,4,y_1r4_60m,74.52815985679626,13,0.3343298863340193
orb_tf,10.005429983139038,3,0.0,0,y_1r4_60m,10.005429983139038,3,0.04488389724653614
price_vs_vwap_pct_abs,2622.484094142914,152,246.2368516921997,10,y_1r4_close60m,2868.7209458351135,162,19.35796546287744
breakout_strength_atr_ratio,2535.4547616243362,170,60.233399868011475,8,y_1r4_close60m,2595.6881614923477,178,17.515555793434356
atr14_at_entry,1436.6718440055847,178,327.12899923324585,23,y_1r4_close60m,1763.8008432388306,201,11.902027576569267
orb_range_atr_ratio,1579.8138312101364,214,47.04364061355591,6,y_1r4_close60m,1626.8574718236923,220,10.977941510243102
adx_14_15m,1189.318975687027,140,96.15492963790894,14,y_1r4_close60m,1285.473905324936,154,8.674304657913064
price_vs_vwap_pct,883.1222720146179,127,72.34171915054321,8,y_1r4_close60m,955.4639911651611,135,6.447416563416872
time_in_session_min,742.7822701931,138,121.03414964675903,13,y_1r4_close60m,863.816419839859,151,5.828983974828046
orb_range_sq,596.5938498973846,93,65.44369125366211,8,y_1r4_close60m,662.0375411510468,101,4.467391600196055
breakout_strength_vs_orb,531.9056191444397,89,78.67700052261353,11,y_1r4_close60m,610.5826196670532,100,4.120176722280401
atr14_sq,308.4119985103607,47,0.0,0,y_1r4_close60m,308.4119985103607,47,2.08114659049299
breakout_strength,260.44733023643494,49,39.24856996536255,5,y_1r4_close60m,299.6959002017975,54,2.0223308558105444
day_of_week,211.82533979415894,43,26.118810176849365,3,y_1r4_close60m,237.9441499710083,46,1.6056335642962383
ema_slope_1h,129.1142394542694,17,85.6141996383667,6,y_1r4_close60m,214.7284390926361,23,1.4489752702812206
breakout_strength_sq,136.66700053215027,19,13.832079887390137,2,y_1r4_close60m,150.4990804195404,21,1.0155592181895443
session,140.325590133667,29,8.060230255126953,1,y_1r4_close60m,148.38582038879395,30,1.001299059930282
breakout_side,115.34792113304138,16,17.36210060119629,1,y_1r4_close60m,132.71002173423767,17,0.8955196639250762
adx_50_flag,68.95725011825562,5,10.528800010681152,1,y_1r4_close60m,79.48605012893677,6,0.536367336603587
orb_tf,15.027480006217957,4,0.0,0,y_1r4_close60m,15.027480006217957,4,0.10140457871191237
